LatD,LatM,LatS,NS,LonD,LonM,LonS,EW,City,State
41,5,59,N,80,39,0,W,Youngstown,OH
42,52,48,N,97,23,23,W,Yankton,SD
46,35,59,N,120,30,36,W,Yakima,WA
42,,12,N,71,,0,W,Worcester,MA
43,37,48,N,89,46,11,,,WI
36,5,59,N,80,15,0,W,Winston-Salem,NC
49,52,48,N,97,9,,W,Winnipeg,MB
39,11,23,N,78,9,36,W,Winchester,VA
34,14,24,N,77,55,11,W,Wilmington,
39,45,0,N,,33,0,W,Wilmington,DE
48,9,0,N,103,37,12,W,,ND
41,15,0,N,77,0,0,W,Williamsport,PA
37,40,48,N,82,16,47,W,Williamson,WV
,54,0,N,98,29,23,W,WichitaFalls,TX
37,41,23,N,97,20,23,W,Wichita,KS
40,4,11,N,80,43,12,W,Wheeling,WV
26,,11,N,80,3,0,W,,FL
47,25,11,N,120,19,11,W,Wenatchee,
,25,,N,122,23,23,W,Weed,CA
31,13,11,N,82,20,59,W,,GA
44,57,35,N,89,38,23,W,Wausau,WI
42,,36,N,87,49,48,W,Waukegan,IL
4,54,0,N,,6,36,W,Watertown,SD
43,58,,N,75,55,11,,,
42,30,0,N,92,20,23,W,Waterloo,IA
41,,59,,73,3,,W,,CT
38,53,23,N,77,1,47,W,Washington,DC
41,50,59,N,79,8,23,W,Warren,PA
,4,11,N,118,19,48,W,,WA
31,32,59,N,97,8,23,W,Waco,TX
38,40,48,N,87,31,47,W,Vincennes,
,48,,N,97,0,36,W,Victoria,TX
32,20,59,N,90,52,47,W,Vicksburg,MS
49,16,12,N,123,7,12,W,,BC
46,55,11,N,,0,36,W,ValleyCity,
,49,47,N,83,16,47,W,Valdosta,GA
43,6,36,N,75,13,48,W,Utica,NY
39,54,0,N,79,,48,W,,PA
32,20,59,N,95,18,0,W,Tyler,TX
42,33,,N,114,28,12,W,TwinFalls,ID
33,12,35,N,87,34,11,W,Tuscaloosa,AL
34,,35,N,88,42,35,W,Tupelo,MS
36,9,35,N,95,54,36,W,Tulsa,OK
32,13,12,N,110,58,12,W,,AZ
37,10,11,N,104,,36,W,Trinidad,
40,13,47,N,74,46,11,,Trenton,NJ
44,45,,N,85,37,47,W,TraverseCity,MI
43,39,0,N,79,22,47,W,Toronto,ON
39,2,59,N,95,40,11,W,Topeka,KS
41,39,0,N,,32,24,W,Toledo,OH
33,25,48,N,94,3,0,W,,TX
39,28,12,,87,24,,W,TerreHaute,IN
27,57,0,N,82,26,59,W,Tampa,FL
30,27,0,N,84,,47,W,Tallahassee,FL
47,14,24,N,122,25,48,W,Tacoma,WA
43,2,59,N,76,9,0,W,,NY
32,35,59,N,82,20,23,W,Swainsboro,GA
,55,11,N,80,20,59,W,,SC
40,59,24,N,75,11,24,W,Stroudsburg,PA
37,57,,N,121,17,24,W,Stockton,CA
44,31,12,N,89,34,11,W,,WI
40,21,36,N,,37,12,W,Steubenville,OH
40,37,11,N,103,13,,W,Sterling,CO
,9,0,N,79,4,11,W,,VA
39,55,11,N,83,48,35,W,Springfield,OH
37,13,12,N,93,17,24,W,Springfield,
42,5,59,N,72,35,23,W,Springfield,MA
,47,59,N,89,39,0,W,Springfield,IL
47,40,11,N,117,24,36,W,Spokane,WA
41,40,48,,86,15,0,W,SouthBend,IN
43,32,24,N,96,43,48,W,SiouxFalls,SD
42,29,24,N,96,23,23,W,SiouxCity,IA
32,,35,N,93,45,,W,Shreveport,LA
33,38,,N,96,36,36,W,,TX
44,47,59,N,106,57,35,W,Sheridan,WY
35,13,47,N,96,40,48,W,Seminole,OK
32,25,11,N,87,1,11,W,Selma,AL
38,42,35,N,93,13,,W,,MO
47,35,59,N,122,19,48,W,Seattle,WA
41,24,35,N,75,40,11,W,Scranton,PA
41,52,11,,103,39,36,W,Scottsbluff,NB
,49,11,N,73,56,59,W,Schenectady,NY
32,,48,N,81,,23,W,,GA
,29,24,N,84,20,59,W,SaultSainteMarie,MI
27,20,24,N,82,31,47,W,Sarasota,FL
38,26,23,N,122,43,12,W,SantaRosa,CA
35,40,48,N,105,56,59,W,SantaFe,NM
34,25,11,,119,41,59,W,,CA
,45,35,N,117,,12,W,SantaAna,
37,20,24,N,121,52,,W,SanJose,CA
37,46,47,N,122,25,11,W,SanFrancisco,CA
41,27,0,N,82,42,35,W,Sandusky,OH
32,42,35,N,,9,0,W,,CA
34,6,36,N,117,18,35,W,SanBernardino,CA
,,12,N,98,30,0,W,SanAntonio,TX
31,27,35,N,100,,,W,SanAngelo,TX
40,45,35,,111,52,47,W,,UT
38,22,11,N,75,35,59,W,,MD
36,,11,N,121,39,0,W,Salinas,CA
38,50,24,N,97,,36,,Salina,KS
38,31,47,,106,0,0,W,,
44,56,23,N,123,1,47,W,Salem,OR
44,,0,N,93,5,,W,SaintPaul,MN
38,37,11,N,90,11,24,W,SaintLouis,MO
39,46,12,N,94,50,23,W,SaintJoseph,MO
42,5,59,,86,,48,W,,MI
44,25,11,N,72,1,11,W,SaintJohnsbury,VT
45,34,11,N,94,10,11,W,SaintCloud,MN
29,53,23,N,81,19,11,W,SaintAugustine,FL
43,25,48,,83,,24,W,,MI
38,,24,N,121,29,23,W,Sacramento,CA
43,36,36,N,72,58,12,W,Rutland,VT
,24,0,N,104,,47,W,Roswell,NM
35,56,23,N,77,48,0,W,RockyMount,NC
41,35,24,N,109,13,48,W,RockSprings,WY
42,16,12,N,,5,59,W,,IL
43,9,35,N,77,36,36,W,Rochester,NY
44,1,12,N,92,27,35,W,Rochester,MN
37,16,12,N,79,,24,W,,VA
37,32,24,N,,26,59,W,Richmond,VA
39,,48,N,84,53,23,W,Richmond,IN
38,46,12,N,112,5,23,W,,UT
45,38,,,89,25,11,W,Rhinelander,WI
39,31,12,N,119,48,35,W,Reno,NV
50,25,11,N,104,39,0,W,Regina,SA
40,10,,N,122,14,23,W,RedBluff,CA
40,19,48,N,75,55,48,W,Reading,PA
41,9,35,N,81,14,23,W,Ravenna,OH
